Model,TP,FN,FP,Precision,Recall,F1,AUC
Ens LOF+IF+IF2+PCA c=0.02 +fg3,59,39,11,0.8428571428571429,0.6020408163265306,0.7023809523809523,0.9010503928926917
Ens LOF+IF+IF2+PCA c=0.02 +fg2,59,39,11,0.8428571428571429,0.6020408163265306,0.7023809523809523,0.9010503928926917
Ens LOF+IF+IF2+PCA c=0.02 +fg5,59,39,11,0.8428571428571429,0.6020408163265306,0.7023809523809523,0.9010503928926917
Ens LOF+IF+IF2+PCA c=0.02,57,41,11,0.8382352941176471,0.5816326530612245,0.6867469879518072,0.9010503928926917
Ens LOF+IF+PCA c=0.02 +fg3,59,39,16,0.7866666666666666,0.6020408163265306,0.6820809248554913,0.90137496986071
Ens LOF+LOF2+IF+IF2 c=0.02 +fg2,60,38,21,0.7407407407407407,0.6122448979591837,0.6703910614525139,0.8999530136198678
Ens LOF+LOF2+IF+IF2 c=0.02 +fg3,60,38,21,0.7407407407407407,0.6122448979591837,0.6703910614525139,0.8999530136198678
Ens LOF+IF+PCA c=0.03,67,31,35,0.6568627450980392,0.6836734693877551,0.67,0.90137496986071
Ens ALL c=0.03,67,31,35,0.6568627450980392,0.6836734693877551,0.67,0.9122869384045652
Vote LOF+IF+PCA >=2/3,59,39,20,0.7468354430379747,0.6020408163265306,0.6666666666666666,
Ens LOF+IF+PCA c=0.02 +fg5,59,39,20,0.7468354430379747,0.6020408163265306,0.6666666666666666,0.90137496986071
Ens LOF+IF+IF2+PCA c=0.015 +fg5,51,47,5,0.9107142857142857,0.5204081632653061,0.6623376623376623,0.9010503928926917
Ens LOF+IF+IF2+PCA c=0.015 +fg2,51,47,5,0.9107142857142857,0.5204081632653061,0.6623376623376623,0.9010503928926917
Ens LOF+IF+IF2+PCA c=0.015 +fg3,51,47,5,0.9107142857142857,0.5204081632653061,0.6623376623376623,0.9010503928926917
Ens LOF+IF+PCA+OCSVM c=0.03,66,32,36,0.6470588235294118,0.673469387755102,0.66,0.9187475656727399
Ens LOF+IF+PCA c=0.02 +fg2,56,42,16,0.7777777777777778,0.5714285714285714,0.6588235294117647,0.90137496986071
Ens LOF+LOF2+IF+IF2 c=0.02 +fg5,60,38,26,0.6976744186046512,0.6122448979591837,0.6521739130434783,0.8999530136198678
Ens LOF+IF+PCA c=0.02,54,44,14,0.7941176470588235,0.5510204081632653,0.6506024096385542,0.90137496986071
Ens LOF+IF+IF2+PCA c=0.03,65,33,37,0.6372549019607843,0.6632653061224489,0.65,0.9010503928926917
Ens LOF+LOF2+IF+IF2 c=0.03,64,34,38,0.6274509803921569,0.6530612244897959,0.64,0.8999530136198678
Ens LOF+IF c=0.02 +fg2,56,42,23,0.7088607594936709,0.5714285714285714,0.632768361581921,0.9003888741197781
Ens LOF+IF c=0.02 +fg3,56,42,23,0.7088607594936709,0.5714285714285714,0.632768361581921,0.9003888741197781
Vote L+I+P+O >=2/4,64,34,41,0.6095238095238096,0.6530612244897959,0.6305418719211823,
Ens LOF+IF c=0.03,63,35,39,0.6176470588235294,0.6428571428571429,0.63,0.9003888741197781
Ens LOF+IF c=0.015 +fg5,51,47,13,0.796875,0.5204081632653061,0.6296296296296297,0.9003888741197781
Ens ALL c=0.02 +fg3,55,43,22,0.7142857142857143,0.5612244897959183,0.6285714285714286,0.9122869384045652
Ens ALL c=0.02 +fg5,55,43,22,0.7142857142857143,0.5612244897959183,0.6285714285714286,0.9122869384045652
Ens ALL c=0.02 +fg2,55,43,22,0.7142857142857143,0.5612244897959183,0.6285714285714286,0.9122869384045652
IF iter-clean p=1 c=0.01 [new],78,20,73,0.5165562913907285,0.7959183673469388,0.6265060240963856,0.8940209831281801
Ens LOF+IF c=0.02 +fg5,56,42,27,0.6746987951807228,0.5714285714285714,0.6187845303867403,0.9003888741197781
Ens LOF+IF+IF2+PCA c=0.015,46,52,5,0.9019607843137255,0.46938775510204084,0.6174496644295302,0.9010503928926917
Ens LOF+LOF2+IF+IF2 c=0.015 +fg5,49,49,13,0.7903225806451613,0.5,0.6125,0.8999530136198678
Ens LOF+IF+OCSVM c=0.03,61,37,41,0.5980392156862745,0.6224489795918368,0.61,0.9174059808715973
Vote L+L2+I+I2 >=2/4,69,29,61,0.5307692307692308,0.7040816326530612,0.6052631578947368,
Vote LOF+IF >=1/2,69,29,61,0.5307692307692308,0.7040816326530612,0.6052631578947368,
Ens LOF+IF+PCA+OCSVM c=0.02 +fg3,51,47,21,0.7083333333333334,0.5204081632653061,0.6,0.9187475656727399
Ens LOF+IF+PCA+OCSVM c=0.02 +fg2,51,47,21,0.7083333333333334,0.5204081632653061,0.6,0.9187475656727399
Ens LOF+IF+PCA+OCSVM c=0.02 +fg5,51,47,21,0.7083333333333334,0.5204081632653061,0.6,0.9187475656727399
Ens LOF+IF+PCA+OCSVM c=0.02,49,49,19,0.7205882352941176,0.5,0.5903614457831325,0.9187475656727399
Ens ALL c=0.02,49,49,19,0.7205882352941176,0.5,0.5903614457831325,0.9122869384045652
Ens LOF+IF c=0.015 +fg3,46,52,13,0.7796610169491526,0.46938775510204084,0.5859872611464968,0.9003888741197781
Vote L+L2+I+I2 >=1/4,75,23,84,0.4716981132075472,0.7653061224489796,0.5836575875486382,
Ens LOF+LOF2+IF+IF2 c=0.02,48,50,20,0.7058823529411765,0.4897959183673469,0.5783132530120482,0.8999530136198678
Ens LOF+IF c=0.02,48,50,20,0.7058823529411765,0.4897959183673469,0.5783132530120482,0.9003888741197781
Vote LOF+IF+PCA >=1/3,71,27,77,0.4797297297297297,0.7244897959183674,0.5772357723577236,
Ens LOF+LOF2+IF+IF2 c=0.015 +fg3,45,53,13,0.7758620689655172,0.45918367346938777,0.5769230769230769,0.8999530136198678
Ens LOF+IF+OCSVM c=0.02 +fg3,50,48,27,0.6493506493506493,0.5102040816326531,0.5714285714285714,0.9174059808715973
