Model,TP,FN,FP,Precision,Recall,F1,AUC
IF n_est=100 c=0.02 [new],62,36,36,0.6326530612244898,0.6326530612244898,0.6326530612244898,0.8980024606025385
IF n_est=300 c=0.02 [new],61,37,38,0.6161616161616161,0.6224489795918368,0.6192893401015228,0.8945712183692017
IF n_est=200 c=0.02 [new],60,38,38,0.6122448979591837,0.6122448979591837,0.6122448979591837,0.8969607230956606
PCA k=7 c=0.01 [old],55,43,36,0.6043956043956044,0.5612244897959183,0.582010582010582,0.9130350110356168
PCA k=7 c=0.02 [old],61,37,62,0.4959349593495935,0.6224489795918368,0.5520361990950227,0.9130350110356168
LOF n=80 c=0.015 [old],54,44,53,0.5046728971962616,0.5510204081632653,0.526829268292683,0.9086485851535403
IF n_est=100 c=0.013 [new],41,57,22,0.6507936507936508,0.41836734693877553,0.5093167701863354,0.8980024606025385
LOF n=80 c=0.01 [old],47,51,40,0.5402298850574713,0.47959183673469385,0.5081081081081081,0.9086485851535403
PCA k=5 c=0.02 [old],50,48,62,0.44642857142857145,0.5102040816326531,0.47619047619047616,0.8541567490370883
PCA k=5 c=0.01 [old],38,60,24,0.6129032258064516,0.3877551020408163,0.475,0.8541567490370883
LOF n=50 c=0.015 [old],48,50,60,0.4444444444444444,0.4897959183673469,0.46601941747572817,0.9027474667540448
OCSVM nu=0.01 g=0.1 [old],57,41,91,0.38513513513513514,0.5816326530612245,0.4634146341463415,0.9047969384663892
OCSVM nu=0.02 g=scale [old],61,37,107,0.3630952380952381,0.6224489795918368,0.45864661654135336,0.9087876895684053
Mahalanobis c=0.05 [old],71,27,143,0.3317757009345794,0.7244897959183674,0.4551282051282051,0.8958571614043982
OCSVM nu=0.01 g=scale [old],54,44,87,0.3829787234042553,0.5510204081632653,0.45188284518828453,0.9080921674940804
OCSVM nu=0.02 g=0.1 [old],61,37,112,0.35260115606936415,0.6224489795918368,0.45018450184501846,0.9057984902534173
IF n_est=300 c=0.013 [new],35,63,24,0.5932203389830508,0.35714285714285715,0.445859872611465,0.8945712183692017
OCSVM nu=0.02 g=0.01 [old],48,50,70,0.4067796610169492,0.4897959183673469,0.4444444444444444,0.7370277405115333
OCSVM nu=0.005 g=0.1 [old],54,44,92,0.3698630136986301,0.5510204081632653,0.4426229508196721,0.9031864184631744
IF n_est=200 c=0.013 [new],34,64,24,0.5862068965517241,0.3469387755102041,0.4358974358974359,0.8969607230956606
OCSVM nu=0.005 g=scale [old],51,47,86,0.3722627737226277,0.5204081632653061,0.4340425531914894,0.9057181188137176
EllipticEnv c=0.05 [old],70,28,155,0.3111111111111111,0.7142857142857143,0.43343653250773995,0.8872481437288641
IF n_est=200 c=0.02 [old],42,56,54,0.4375,0.42857142857142855,0.4329896907216495,0.8798323328119493
LOF n=50 c=0.01 [old],39,59,45,0.4642857142857143,0.3979591836734694,0.42857142857142855,0.9027474667540448
IF n_est=300 c=0.02 [old],40,58,50,0.4444444444444444,0.40816326530612246,0.425531914893617,0.8755942849723956
IF n_est=100 c=0.02 [old],40,58,50,0.4444444444444444,0.40816326530612246,0.425531914893617,0.8720517592071666
PCA k=7 c=0.05 [old],71,27,170,0.2946058091286307,0.7244897959183674,0.41887905604719766,0.9130350110356168
Mahalanobis c=0.02 [old],42,56,61,0.4077669902912621,0.42857142857142855,0.417910447761194,0.8958571614043982
LOF n=35 c=0.01 [old],37,61,45,0.45121951219512196,0.37755102040816324,0.4111111111111111,0.8806298647905088
OCSVM nu=0.01 g=0.01 [old],35,63,38,0.4794520547945205,0.35714285714285715,0.4093567251461988,0.679460151221955
PCA k=5 c=0.05 [old],64,34,155,0.2922374429223744,0.6530612244897959,0.4037854889589905,0.8541567490370883
LOF n=35 c=0.015 [old],41,57,65,0.3867924528301887,0.41836734693877553,0.4019607843137255,0.8806298647905088
PCA k=3 c=0.05 [old],61,37,147,0.2932692307692308,0.6224489795918368,0.39869281045751637,0.895826249312206
LOF n=80 c=0.005 [old],29,69,21,0.58,0.29591836734693877,0.3918918918918919,0.9086485851535403
LOF n=20 c=0.015 [old],39,59,66,0.37142857142857144,0.3979591836734694,0.3842364532019704,0.8104006825389957
PCA k=3 c=0.02 [old],35,63,59,0.3723404255319149,0.35714285714285715,0.3645833333333333,0.895826249312206
LOF n=20 c=0.01 [old],32,66,46,0.41025641025641024,0.32653061224489793,0.36363636363636365,0.8104006825389957
LOF n=50 c=0.005 [old],26,72,26,0.5,0.2653061224489796,0.3466666666666667,0.9027474667540448
IF n_est=200 c=0.013 [old],28,70,38,0.42424242424242425,0.2857142857142857,0.34146341463414637,0.8798323328119493
OCSVM nu=0.005 g=0.01 [old],24,74,22,0.5217391304347826,0.24489795918367346,0.3333333333333333,0.7342209225404794
LOF n=35 c=0.005 [old],25,73,28,0.4716981132075472,0.25510204081632654,0.33112582781456956,0.8806298647905088
EllipticEnv c=0.02 [old],33,65,69,0.3235294117647059,0.336734693877551,0.33,0.8872481437288641
LOF n=20 c=0.005 [old],24,74,27,0.47058823529411764,0.24489795918367346,0.3221476510067114,0.8104006825389957
Mahalanobis c=0.01 [old],24,74,29,0.4528301886792453,0.24489795918367346,0.31788079470198677,0.8958571614043982
IF n_est=300 c=0.013 [old],24,74,37,0.39344262295081966,0.24489795918367346,0.3018867924528302,0.8755942849723956
IF n_est=100 c=0.005 [new],18,80,10,0.6428571428571429,0.1836734693877551,0.2857142857142857,0.8980024606025385
IF n_est=100 c=0.013 [old],21,77,34,0.38181818181818183,0.21428571428571427,0.27450980392156865,0.8720517592071666
EllipticEnv c=0.01 [old],17,81,25,0.40476190476190477,0.17346938775510204,0.24285714285714285,0.8872481437288641
PCA k=3 c=0.01 [old],13,85,28,0.3170731707317073,0.1326530612244898,0.18705035971223022,0.895826249312206
EllipticEnv c=0.005 [old],11,87,13,0.4583333333333333,0.11224489795918367,0.18032786885245902,0.8872481437288641
IF n_est=200 c=0.005 [old],10,88,16,0.38461538461538464,0.10204081632653061,0.16129032258064516,0.8798323328119493
IF n_est=300 c=0.005 [old],10,88,16,0.38461538461538464,0.10204081632653061,0.16129032258064516,0.8755942849723956
IF n_est=200 c=0.005 [new],9,89,11,0.45,0.09183673469387756,0.15254237288135594,0.8969607230956606
IF n_est=300 c=0.005 [new],9,89,11,0.45,0.09183673469387756,0.15254237288135594,0.8945712183692017
IF n_est=100 c=0.005 [old],9,89,16,0.36,0.09183673469387756,0.14634146341463414,0.8720517592071666
